alert_id,timestamp,day,source,severity,title,suppressed,confidence,trust_score,C,B,H,E,trust_decision,gated,actions,rule_evaluation_latency_ms
69900263-77cf-4a5d-a64c-2aeaa44dca06,2026-01-15T21:41:45.000Z,1,aws-cloudwatch,P4,"DynamoDB throttled reads on user-sessions",true,,,,,,,suppressed_by_rule,false,"",1
17ed28ed-f524-4226-be64-77b5e103ca3f,2026-01-15T06:59:42.000Z,1,datadog,P3,"Disk IOPS saturated on data-warehouse",false,1,0.9256,1,0.796,0.825,1,human_review_anomaly,true,"create_incident (pending_review)",3
d90baf00-1ccb-4abc-af30-6cef7974e8f7,2026-01-15T23:48:06.000Z,1,newrelic,P4,"Browser JS error rate spike",true,,,,,,,suppressed_by_rule,false,"",2
2ee97792-449a-48ff-a060-20c503bc650f,2026-01-15T18:16:30.000Z,1,splunk,P4,"Security: failed login attempts exceed threshold",false,0.787,0.8453,0.787,0.782,0.938,1,conditional,false,"",5
779cc88f-c89b-452e-ac78-482fdd5071ab,2026-01-15T06:01:29.000Z,1,aws-cloudwatch,noise,"EC2 CPU utilization exceeds 95% on prod-web-2",false,0.728,0.7956,0.728,0.734,0.886,1,conditional,false,"",4
d039e992-692f-4e77-9339-622cfe8b9459,2026-01-15T01:54:58.000Z,1,datadog,P3,"Memory usage critical on k8s node prod-worker-10",false,0.962,0.888,0.962,0.995,0.711,0.8,conditional,false,"create_incident",9
afd63d2e-85e7-40dd-8947-89e07b6e1568,2026-01-15T15:24:01.000Z,1,newrelic,P3,"Distributed trace anomaly detected",false,0.727,0.7667,0.727,0.765,0.754,1,conditional,false,"create_incident",3
bc92323a-c20b-45e1-b792-a92a7e330f8f,2026-01-15T12:17:59.000Z,1,splunk,P3,"Alert: unauthorized access attempt",true,,,,,,,suppressed_by_rule,false,"",5
22fc0de6-7182-427b-8d7b-270030c192b2,2026-01-15T14:07:05.000Z,1,aws-cloudwatch,P4,"ECS task stopped unexpectedly",false,0.768,0.754,0.768,0.708,0.655,1,conditional,false,"",8
7155526b-4aac-4ed1-9c42-f57c0624e4de,2026-01-15T12:04:05.000Z,1,datadog,P4,"Network packet loss on prod-vpc",false,1,0.8944,1,0.708,0.753,1,human_review_anomaly,true,"",11
4689436c-0403-4ce2-bcfb-8daebbcf5349,2026-01-15T05:05:19.000Z,1,newrelic,P3,"Workload health degraded: payments-stack",false,0.796,0.8546,0.796,0.844,1,0.8,conditional,false,"create_incident",13
d3c7b6b1-0f18-4172-90c2-704c28853495,2026-01-15T18:56:10.000Z,1,splunk,P3,"Security: failed login attempts exceed threshold",true,,,,,,,suppressed_by_rule,false,"",3
3c03df8c-d85e-4c79-ae8a-46660d76b115,2026-01-15T18:15:03.000Z,1,aws-cloudwatch,P3,"RDS connection count spike on primary-db",true,,,,,,,suppressed_by_rule,false,"",5
57dc629d-db59-49e2-a51b-c16f5ee5a350,2026-01-15T20:04:42.000Z,1,datadog,P1,"Anomaly detected: request rate drop on checkout-service",false,0.661,0.7357,0.661,0.681,0.812,1,conditional,true,"create_incident (gated);declare_mim (gated);page_oncall (gated)",12
85af4ee9-dae4-4e49-bafc-dcaf0a37dbc1,2026-01-15T21:23:03.000Z,1,newrelic,P4,"Apdex score below threshold on web-frontend",false,0.921,0.9053,0.921,0.797,0.901,1,auto_execute,false,"",9
886bbd2f-7fa4-4798-9e34-eee291678274,2026-01-15T11:40:36.000Z,1,splunk,P2,"Alert: unauthorized access attempt",false,0.96,0.8801,0.96,0.694,0.944,0.6,conditional,true,"create_incident (gated);page_oncall (gated)",14
e29e6d3c-8cea-4342-9553-42122b86107b,2026-01-15T03:41:07.000Z,1,aws-cloudwatch,P2,"RDS connection count spike on primary-db",true,,,,,,,suppressed_by_rule,false,"",5
7bc46969-7fa9-42dd-86aa-b863609001f6,2026-01-15T08:22:41.000Z,1,datadog,P4,"Database query latency p99 exceeds SLA",false,0.729,0.788,0.729,1,0.694,1,conditional,false,"",14
