day,date,total_alerts,suppressed,suppression_rate,gated,gating_rate,processed,latency_p50_ms,latency_p95_ms,model_modifications
1,2026-01-15,503,95,18.9,78,15.5,408,9,18,0
2,2026-01-16,494,114,23.1,48,9.7,380,8,17,0
3,2026-01-17,481,90,18.7,63,13.1,391,8,17,0
4,2026-01-18,520,117,22.5,66,12.7,403,8,17,0
5,2026-01-19,509,108,21.2,55,10.8,401,8,17,0
6,2026-01-20,497,96,19.3,61,12.3,401,8,17,0
7,2026-01-21,499,116,23.2,66,13.2,383,8,17,0
8,2026-01-22,502,101,20.1,55,11,401,8,17,0
9,2026-01-23,495,91,18.4,59,11.9,404,8,17,0
10,2026-01-24,510,103,20.2,75,14.7,407,8,17,0
11,2026-01-25,511,104,20.4,62,12.1,407,8,17,0
12,2026-01-26,485,102,21,58,12,383,8,17,0
13,2026-01-27,485,96,19.8,72,14.8,389,8,17,0
14,2026-01-28,497,105,21.1,61,12.3,392,8,17,0
15,2026-01-29,483,101,20.9,58,12,382,8,17,0
16,2026-01-30,504,101,20,73,14.5,403,8,17,0
17,2026-01-31,484,102,21.1,61,12.6,382,8,17,0
18,2026-02-01,496,115,23.2,64,12.9,381,8,17,0
19,2026-02-02,485,110,22.7,65,13.4,375,8,17,0
20,2026-02-03,508,109,21.5,71,14,399,8,17,0
21,2026-02-04,496,117,23.6,66,13.3,379,8,17,0
22,2026-02-05,492,116,23.6,71,14.4,376,8,17,0
23,2026-02-06,486,103,21.2,63,13,383,8,17,0
24,2026-02-07,505,117,23.2,60,11.9,388,8,17,0
25,2026-02-08,507,120,23.7,62,12.2,387,8,18,0
26,2026-02-09,491,101,20.6,68,13.8,390,8,17,0
27,2026-02-10,486,107,22,61,12.6,379,8,17,0
28,2026-02-11,518,119,23,69,13.3,399,8,17,0
29,2026-02-12,489,105,21.5,67,13.7,384,8,17,0
30,2026-02-13,512,100,19.5,67,13.1,412,8,17,0
